domain,last_update_date,categories,total_votes
speeddating.tn,,"{""alphaMountain.ai"": ""Dating/Personals"", ""BitDefender"": ""onlinedating"", ""Xcitium Verdict Cloud"": ""blogs & wikis"", ""Forcepoint ThreatSeeker"": ""human interests""}","{""harmless"": 0, ""malicious"": 0}"
come-fare-tutto.it,,"{""Forcepoint ThreatSeeker"": ""reference materials"", ""Comodo Valkyrie Verdict"": ""media sharing""}","{""harmless"": 0, ""malicious"": 0}"
bamfordbody.co.uk,,"{""BitDefender"": ""business""}","{""harmless"": 0, ""malicious"": 0}"
lbsite.org,1687587747,"{""BitDefender"": ""computersandsoftware"", ""Xcitium Verdict Cloud"": ""media sharing"", ""Forcepoint ThreatSeeker"": ""blogs and personal sites""}","{""harmless"": 0, ""malicious"": 0}"
wikipediait.1eye.us,1677580707,"{""Forcepoint ThreatSeeker"": ""service and philanthropic organizations"", ""Webroot"": ""Phishing and Other Frauds""}","{""harmless"": 0, ""malicious"": 0}"
lereveilmatin.fr,,{},"{""harmless"": 0, ""malicious"": 0}"
klbirojs.lv,,{},"{""harmless"": 0, ""malicious"": 0}"
activationkeyspro.org,1706894770,"{""alphaMountain.ai"": ""Information Technology, Suspicious (alphaMountain.ai)"", ""BitDefender"": ""computersandsoftware"", ""Xcitium Verdict Cloud"": ""illegal software"", ""Forcepoint ThreatSeeker"": ""hacking""}","{""harmless"": 0, ""malicious"": 0}"
pcarg.org,1672644545,"{""Forcepoint ThreatSeeker"": ""social and affiliation organizations"", ""Xcitium Verdict Cloud"": ""entertainment""}","{""harmless"": 0, ""malicious"": 0}"
3d-tb.de,,"{""Comodo Valkyrie Verdict"": ""media sharing""}","{""harmless"": 0, ""malicious"": 0}"
동방주물.com,1701913507,"{""Xcitium Verdict Cloud"": ""unknown""}","{""harmless"": 0, ""malicious"": 0}"
motelestreladovale.com.br,,{},"{""harmless"": 0, ""malicious"": 0}"
occhronicle.com,1689948383,"{""Sophos"": ""spyware and malware"", ""alphaMountain.ai"": ""Malicious (alphaMountain.ai)"", ""Xcitium Verdict Cloud"": ""unknown"", ""Forcepoint ThreatSeeker"": ""news and media""}","{""harmless"": 0, ""malicious"": 0}"
g89.co.kr,,"{""alphaMountain.ai"": ""Shopping (alphaMountain.ai)""}","{""harmless"": 0, ""malicious"": 0}"
anaptixiaki.gr,,{},"{""harmless"": 0, ""malicious"": 0}"
bazaletilake.ge,,{},"{""harmless"": 0, ""malicious"": 0}"
wassergaertner.eu,,"{""BitDefender"": ""misc"", ""Xcitium Verdict Cloud"": ""pornography"", ""Forcepoint ThreatSeeker"": ""business and economy""}","{""harmless"": 0, ""malicious"": 0}"
centuryelastomers.com,1674803027,"{""Xcitium Verdict Cloud"": ""media sharing""}","{""harmless"": 0, ""malicious"": 0}"
